X,Y,OBJECTID,ID,ID_1,LabelID,STATUS,LOCATION,CORRIDOR,CATEGORY,INSET,CATS,DESCRIPTION
1463243.64273101,550936.669606,81,27,27,27,FUNDED,New CATS LYNX BLE Flyover,NCRR/NS/CATS,CRISP,1,1," Blue Line Extension, light rail flyover structure of NS freight tracks and future NCDOT North End Passenger Bypass tracks.  Estimated completion: 2017."
1480473.75023101,558499.062731013,82,19,19,19,COMPLETED,Old Concord Rd. (SR 2939) /Newell-Hickory Grove Rd. Intersection (SR 2853),NCRR/NS,CDOT/NCDOT MOU,,,"Decision to construct Grier Rd. Overpass at NCRR/NS Rail Line as part of the Double Track Project negated intersection improvements at this location; the Newell-Hickory Grove Rd. crossing of the NCRR/NS Rail Line will close by the end of 2016."
1489293.416481,572412.583356008,83,1,1,1,COMPLETED,Back Creek Church Rd.(SR 2827),NCRR/NS,CDOT/NCDOT MOU,,,Improved Intersection and Upgraded Crossing Infrastructure
1430493.82835601,541088.197731003,84,41,41,41,UNFUNDED,New Wye at Charlotte Junction,NS,CRISP,,,Construction of new track in southern quadrant to create turning wye for trains.  Passenger trains serving Gateway Center will turn at this location for northbound return trips.  Freight trains will turn at this location for access to and from Charleston/
1414805.61148101,535092.157731012,85,10,10,10,COMPLETED,Norfolk Southern Intermodal Terminal at CDIA,NS,CRISP,,,"New facility to replace former facility at Uptown Yard; Facility Open"
1487416.090231,571437.740856007,86,31,31,31,FUNDED,Bridge for NCRR over the Eastern Circumferential Road,NCRR/NS,OTHER,,,Bridge under construction to allow for future Eastern Circumferential Road to pass under NCRR/NS Mainline track.  Project to be completed in 2017.  Project paid for by City. 
1484485.61148101,565577.095231012,87,2,2,2,COMPLETED,McLean Rd.,NCRR/NS,CDOT/NCDOT MOU,,,Upgraded Crossing Infrastructure
1421111.870856,561137.557106003,88,18,18,18,COMPLETED,NCDOT Thrift Depot,CSXT,OTHER,,,Depot relocation to occur in spring 2016.
1449726.310231,546643.817106009,89,36,36,36,UNFUNDED,Johnson St.,CSXT,CDOT/NCDOT MOU,1,,"Crossing cannot be closed until such time as the CSXT/NS Mainline Grade Separation Project is implemented; that project is currently unfunded."
1463346.08335601,551022.166481003,90,21,21,21,COMPLETED,Craighead Rd.,NCRR/NS/CATS,CDOT/NCDOT MOU/CRISP,1,1,"Crossing will close upon completion of the E. Sugar Creek Rd. Grade Separation project; Awaiting City Council Crossing Closure Agreement Action in 2016.  "
1457656.337106,548337.576481014,91,25,25,25,COMPLETED,CATS South Corridor,NS/CATS,Transit Corridor System Plan,2,1,Project opened for revenue service
1444560.01523101,540755.368981004,92,23,23,23,PARTIALLY FUNDED,Charlotte Rail and Locomotive Maintenance Facility,NS,CRISP,,,"This project involves constructing a facility to service state-owned and supported passenger trains during Charlotte layovers. A future phase will accommodate longer, higher-speed trains. The funded Phase 1A,  opposite Charlotte Pipe and Foundry, will inc"
1429558.932106,539960.543356001,93,35,35,35,UNFUNDED,Seymour Dr.,NS,CDOT/NCDOT MOU,,,"Crossing infrastructure will be upgraded in conjunction with improvements to the connection between the ""R"" Line (which goes to Columbia) and the NS Mainline near Morris Field Dr. and Wilkinson Blvd."
1453814.744606,550558.199606001,94,63,63,63,UNFUNDED,Woodward Ave.,NS,Other,,,Remove bridge over former NS Spur adjacent to Camp North End.
1455038.37460601,546478.986481011,95,43,43,43,UNFUNDED,North End Passenger Bypass,NCRR/NS,CRISP,,,Bypass of NS freight yard with double track dedicated passenger rail corridor for future commuter and intercity services.  New Railroad Bridge over Tryon Street and new railroad flyover at south end of old NCRR Yard.
1409454.50023101,544504.666481003,96,46,46,46,UNFUNDED,Old Dowd Rd.  (SR 1191) Grade Separation,NS,OTHER,,,Relocation and grade separation of Old Dowd Rd. and NS west of I-485.  Project has been submitted to NCDOT for SPOT4.0 evaluation.
1424065.44398101,562215.390856013,97,9,9,9,COMPLETED,Kenstead Cir.,CSXT,CDOT/NCDOT MOU,,,Crossing Closed
1465310.667731,551348.019606009,98,20,20,20,COMPLETED,East Sugar Creek Rd. (SR 2975),NCRR/NS/CATS,CDOT/NCDOT MOU/CRISP,1,1,"At grade crossing is closed.  Grade Separation under construction; anticipated completion by fall 2018."
1428764.78648101,563066.312106013,99,37,37,37,UNFUNDED,Rozzelles Ferry Rd. (SR 1784)/ Toddville Rd. Intersection,CSXT,CDOT/NCDOT MOU,,,Project has been submitted to NCDOT for SPOT4.0 intersection improvement funding evaluation.
1457942.02085601,548992.007731006,100,42,42,42,UNFUNDED,NS Mainline North End Track Improvements,NCRR/NS,CRISP,,,"Construction of third NS mainline track, relocation and modifications of yard tracks, installation of new track crossovers and signals."
1438700.25023101,541106.000231013,101,34,34,34,UNFUNDED,Berryhill Rd. ,NS,CDOT/NCDOT MOU,,,"Significant public opposition to closure during public involvement phase; no further action taken to date."
1450476.95835601,546383.573981002,102,38,38,38,UNFUNDED,CSXT/Norfolk Southern (NS) Mainline Grade Separation,CSXT/NS,CDOT/NCDOT MOU                     ,1,,Lowers CSXT mainline track under Norfolk Southern mainline track.  Eliminates several at grade street crossings at CSXT and NS tracks.  Improves rail operations thru Charlotte.    Reduction of at grade crossings will significantly reduce locomotive horn b
1454715.28085601,545446.671481013,103,51,51,51,FUNDED,Thoroughbred Bulk Terminal,NCRR/NS,OTHER,,,NS will use remnant of former Intermodal Yard near Uptown to do additional transloading and allow for additional capacity for other operations at its Pineville Yard
1438136.25023101,556066.916481003,104,7,7,7,COMPLETED,Crigler St.,CSXT,CDOT/NCDOT MOU,,,Crossing Closed
1471220.25023101,524191.750231013,105,55,55,55,COMPLETED,Rama Rd.,CSXT,Other,,,
1454979.53773101,577116.662106007,106,29,29,29,PARTIALLY FUNDED,Pete Brown Rd. Improvements,NS,OTHER,,,"In design, ROW purchase anticipated to be completed in fall 2016.  Construction TBD."
1427128.886481,563171.891481012,107,8,8,8,COMPLETED,Craig St.,CSXT,CDOT/NCDOT MOU,,,Crossing Closed
1456155.86648101,583180.545231014,108,14,14,14,PARTIALLY FUNDED,David Cox Rd.  and NC 115 (Old Statesville Rd.) Intersection Improvements ,NS,OTHER,,,"Project in planning, no timetable for design, ROW or construction at this time."
1443616.61210601,541007.459606007,109,33,33,33,UNFUNDED,W. Summit Ave.,NS,CDOT/NCDOT MOU/CRISP,,,"Crossing upgrades to occur with future phases of the Charlotte Locomotive and Railcar Maintenance Facility project; Wilmore neighborhood has requested evaluation of quite zone and street closure. "
1450315.95773101,546348.358356014,110,4,4,4,COMPLETED,Smith St. - Seaboard St.                            (W. 11th St.),NS,CDOT/NCDOT MOU,1,,Crossing Closed
1464898.697731,551097.998981014,111,13,13,13,UNFUNDED,Amtrak Station at Sugar Creek Rd.,NCRR/NS,OTHER,1,,N/A
1448277.79773101,544504.240231007,112,24,24,24,PARTIALLY FUNDED,Charlotte Gateway Station,NS,CRISP,1,,"Public / Private Partnership development of new multi modal station incorporating intercity rail, commuter rail, intercity bus, regional bus, local bus, street car and taxis.  Bounded by 4th, Graham, Trade and rail corridor.  NCDOT received TIGER grant to"
1452356.08335601,545541.486481011,113,22,22,22,FUNDED,N. Church St.,CSXT,CDOT/NCDOT MOU/CRISP,1,,"Construction is underway on adjacent street construction in advance of crossing closing; anticipated closure will occur in 2016."
1482099.00710601,561190.84710601,114,3,3,3,COMPLETED,Rocky River Rd.,NCRR/NS,CDOT/NCDOT MOU,,,Crossing Closed
1450287.03898101,546453.420231014,115,6,6,6,COMPLETED,Seaboard St. (W. 11th St.),CSXT,CDOT/NCDOT MOU,1,,Crossing Closed
1456877.11648101,588819.570231006,116,62,,,,,,,,,
1433692.83273101,541293.836481005,117,45,45,45,UNFUNDED,Clanton Rd. Extension,NS,CRISP,,,Extension of Clanton Rd. from West Blvd. to Wilkinson Blvd. with grade separation over NS Railroad. Donald Ross Rd. at-grade crossing will be closed upon completion of Clanton Road Ext.  Project has been submitted to NCDOT for SPOT4.0 evaluation.
1468654.83335601,552175.666481003,118,12,12,12,COMPLETED,Eastway Dr. Bridge Modifications ,NCRR/NS/CATS,CRISP,,1,"Bridge  rebuilt to accommodate CATS BLE; Open"
1434478.80335601,560093.001481012,119,11,11,11,COMPLETED,CSXT Intermodal Facility,CSXT,CRISP,,,"Expanded yard at existing site; Facility Open"
1460825.25023101,550578.250231013,120,28,28,28,FUNDED,36th St. Grade Separation,NCRR/NS/CATS,CRISP,1,1,"Construct underpass to grade separate BLE, NS, and NCRR tracks from 36th St.   Project completion scheduled for 2017."
1489380.22210601,572228.555856004,121,32,32,32,FUNDED,Eastern Circumferential Road & Back Creek Church Rd. ,NCRR/NS,OTHER,,,"CDOT and NCDOT will enter into an agreement to construct a road under the NCRR bridge to connect NC 49 with Back Creek Church Rd.  When complete, Back Creek Church Rd. at-grade crossing with NCRR/|NS will close.  Anticipated completion by 2023."
1449596.383356,545956.672731012,122,5,5,5,COMPLETED,W. 9th St.,NS,CDOT/NCDOT MOU,1,,Crossing Closed
